Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetD19_2, Signal Layers Only, 0mm
    NetD1_1, Signal Layers Only, 0mm
    NetD20_1, Signal Layers Only, 0mm
    NetD20_2, Signal Layers Only, 0mm
    NetD21_2, Signal Layers Only, 1.057mm
    NetD22_1, Signal Layers Only, 0mm
    NetD22_2, Signal Layers Only, 0mm
    NetD23_2, Signal Layers Only, 0mm
    NetD24_2, Signal Layers Only, 0mm
    NetD2_1, Signal Layers Only, 0mm
    NetD3_2, Signal Layers Only, 0mm
    NetD4_2, Signal Layers Only, 0mm
    NetD5_2, Signal Layers Only, 0mm
    NetD6_2, Signal Layers Only, 0mm
    NetD8_1, Signal Layers Only, 7.2386mm
    NetD8_2, Signal Layers Only, 2.7505mm
    NetDS1_1, Signal Layers Only, 0mm
    NetFB2_1, Signal Layers Only, 0mm
    NetH1_06, Signal Layers Only, 0mm
    NetH1_09, Signal Layers Only, 0mm
    NetH1_11, Signal Layers Only, 0mm
    NetH1_13, Signal Layers Only, 0mm
    NetH1_14, Signal Layers Only, 0mm
    NetH1_15, Signal Layers Only, 0mm
    NetH1_21, Signal Layers Only, 0mm
    NetH1_23, Signal Layers Only, 0mm
    NetH1_25, Signal Layers Only, 0mm
    NetH1_27, Signal Layers Only, 0mm
    NetH1_37, Signal Layers Only, 2.8315mm
    NetH1_38, Signal Layers Only, 5.8477mm
    NetH1_39, Signal Layers Only, 2.7146mm
    NetH1_41, Signal Layers Only, 9.7165mm
    NetH1_43, Signal Layers Only, 3.1772mm
    NetH1_44, Signal Layers Only, 8.1565mm
    NetH1_45, Signal Layers Only, 3.7891mm
    NetH1_46, Signal Layers Only, 8.4348mm
    NetJ12_05, Signal Layers Only, 0mm
    NetJ12_06, Signal Layers Only, 0mm
    NetJ14_11, Signal Layers Only, 0mm
    NetJ14_12, Signal Layers Only, 0mm
    NetJ14_14, Signal Layers Only, 0mm
    NetJ14_15, Signal Layers Only, 0mm
    NetJ14_19, Signal Layers Only, 12.8283mm
    NetJ20_1, Signal Layers Only, 0mm
    NetJ8_3, Signal Layers Only, 2.3735mm
    NetJ8_4, Signal Layers Only, 2.1773mm
    NetJ8_5, Signal Layers Only, 1.9579mm
    NetJ8_6, Signal Layers Only, 2.2961mm
    NetJP4_1, Signal Layers Only, 0mm
    NetJP5_2, Signal Layers Only, 0mm
    NetJP6_1, Signal Layers Only, 3.1626mm
    NetJP6_2, Signal Layers Only, 2.2479mm
    NetL1_1, Signal Layers Only, 0mm
    NetL2_1, Signal Layers Only, 0mm
    NetL3_1, Signal Layers Only, 0mm
    NetL4_1, Signal Layers Only, 0mm
    NetQ1_3, Signal Layers Only, 8.6275mm
