# Package Migration - Certus-NX CSFBGA121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 31-May-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 14-Mar-2025,,Updated the -40 and -28 pinouts information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFD2NX-40,,,,,,,,LFD2NX-28,,,,,,,,LFD2NX-17,,,,,,,,LFD2NX-9,,,,,,
Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED
G11,PB8B,5,-,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB8A,TRUE,,G11,PB8B,5,-,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB8A,TRUE,,G11,PB20B,5,BDQ22,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB20A,TRUE,,G11,PB20B,5,BDQ22,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB20A,TRUE
G2,PB82A,3,BDQ76,ADC_CP15,True_OF_PB82B,TRUE,,G2,PB82A,3,BDQ76,ADC_CP15,True_OF_PB82B,TRUE,,G2,ADC_DN1,70,-,-,Comp_OF_ADC_DP1,FALSE,,G2,ADC_DN1,70,-,-,Comp_OF_ADC_DP1,FALSE
G3,PB70B,3,BDQ76,COMP2IN,Comp_OF_PB70A,TRUE,,G3,PB70B,3,BDQ76,COMP2IN,Comp_OF_PB70A,TRUE,,G3,NC,-,-,-,-,-,,G3,NC,-,-,-,-,-
G4,PB70A,3,BDQ76,COMP2IP,True_OF_PB70B,TRUE,,G4,PB70A,3,BDQ76,COMP2IP,True_OF_PB70B,TRUE,,G4,NC,-,-,-,-,-,,G4,NC,-,-,-,-,-
G5,PB62A,3,BDQ60,ADC_CP10,True_OF_PB62B,TRUE,,G5,PB62A,3,BDQ60,ADC_CP10,True_OF_PB62B,TRUE,,G5,PB60A,3,BDQ62,PCLKT3_1/ADC_CP6,True_OF_PB60B,TRUE,,G5,PB60A,3,BDQ62,PCLKT3_1/ADC_CP6,True_OF_PB60B,TRUE
G6,VCCECLK,-,-,-,-,-,,G6,VCCECLK,-,-,-,-,-,,G6,VCCECLK,-,-,-,-,-,,G6,VCCECLK,-,-,-,-,-
G7,PB54B,3,BDQ60,PCLKC3_0/ADC_CN5,Comp_OF_PB54A,TRUE,,G7,PB54B,3,BDQ60,PCLKC3_0/ADC_CN5,Comp_OF_PB54A,TRUE,,G7,PB22B,5,BDQSN22,-,Comp_OF_PB22A,TRUE,,G7,PB22B,5,BDQSN22,-,Comp_OF_PB22A,TRUE
G8,PB28B,4,BDQ22,-,Comp_OF_PB28A,TRUE,,G8,PB28B,4,BDQ22,-,Comp_OF_PB28A,TRUE,,G8,PB54B,4,BDQ46,PCLKC4_0/VREF4_2,Comp_OF_PB54A,TRUE,,G8,PB54B,4,BDQ46,PCLKC4_0/VREF4_2,Comp_OF_PB54A,TRUE
G9,PB28A,4,BDQ22,-,True_OF_PB28B,TRUE,,G9,PB28A,4,BDQ22,-,True_OF_PB28B,TRUE,,G9,PB54A,4,BDQ46,PCLKT4_0,True_OF_PB54B,TRUE,,G9,PB54A,4,BDQ46,PCLKT4_0,True_OF_PB54B,TRUE
H1,PB78A,3,BDQ76,ADC_CP11,True_OF_PB78B,TRUE,,H1,PB78A,3,BDQ76,ADC_CP11,True_OF_PB78B,TRUE,,H1,ADC_DP0,70,-,-,True_OF_ADC_DN0,FALSE,,H1,ADC_DP0,70,-,-,True_OF_ADC_DN0,FALSE
H10,PB20B,4,BDQ22,-,Comp_OF_PB20A,TRUE,,H10,PB20B,4,BDQ22,-,Comp_OF_PB20A,TRUE,,H10,PB44B,4,BDQ46,-,Comp_OF_PB44A,TRUE,,H10,PB44B,4,BDQ46,-,Comp_OF_PB44A,TRUE
H11,PB20A,4,BDQ22,-,True_OF_PB20B,TRUE,,H11,PB20A,4,BDQ22,-,True_OF_PB20B,TRUE,,H11,PB44A,4,BDQ46,-,True_OF_PB44B,TRUE,,H11,PB44A,4,BDQ46,-,True_OF_PB44B,TRUE
H2,PB78B,3,BDQ76,ADC_CN11,Comp_OF_PB78A,TRUE,,H2,PB78B,3,BDQ76,ADC_CN11,Comp_OF_PB78A,TRUE,,H2,ADC_DP1,70,-,-,True_OF_ADC_DN1,FALSE,,H2,ADC_DP1,70,-,-,True_OF_ADC_DN1,FALSE
H3,VCCAUXH3,-,-,-,-,-,,H3,VCCAUXH3,-,-,-,-,-,,H3,VCCAUXH3,-,-,-,-,-,,H3,VCCAUXH3,-,-,-,-,-
H4,PB72A,3,BDQ76,PCLKT3_2/ADC_CP13,True_OF_PB72B,TRUE,,H4,PB72A,3,BDQ76,PCLKT3_2/ADC_CP13,True_OF_PB72B,TRUE,,H4,PB66A,3,BDQ62,PCLKT3_2/ADC_CP13,True_OF_PB66B,TRUE,,H4,PB66A,3,BDQ62,PCLKT3_2/ADC_CP13,True_OF_PB66B,TRUE
H5,PB62B,3,BDQ60,ADC_CN10,Comp_OF_PB62A,TRUE,,H5,PB62B,3,BDQ60,ADC_CN10,Comp_OF_PB62A,TRUE,,H5,PB60B,3,BDQ62,PCLKC3_1/ADC_CN6,Comp_OF_PB60A,TRUE,,H5,PB60B,3,BDQ62,PCLKC3_1/ADC_CN6,Comp_OF_PB60A,TRUE
H6,VSS,-,-,-,-,-,,H6,VSS,-,-,-,-,-,,H6,VSS,-,-,-,-,-,,H6,VSS,-,-,-,-,-
H7,PB54A,3,BDQ60,PCLKT3_0/VREF3_1/ADC_CP5,True_OF_PB54B,TRUE,,H7,PB54A,3,BDQ60,PCLKT3_0/VREF3_1/ADC_CP5,True_OF_PB54B,TRUE,,H7,PB22A,5,BDQS22,-,True_OF_PB22B,TRUE,,H7,PB22A,5,BDQS22,-,True_OF_PB22B,TRUE
H8,VCCAUXH4,-,-,-,-,-,,H8,VCCAUXH4,-,-,-,-,-,,H8,VCCAUXH4,-,-,-,-,-,,H8,VCCAUXH4,-,-,-,-,-
H9,VSS,-,-,-,-,-,,H9,VSS,-,-,-,-,-,,H9,VSS,-,-,-,-,-,,H9,VSS,-,-,-,-,-
J1,PB74A,3,BDQ76,PCLKT3_3/ADC_CP14,True_OF_PB74B,TRUE,,J1,PB74A,3,BDQ76,PCLKT3_3/ADC_CP14,True_OF_PB74B,TRUE,,J1,PB68A,3,BDQ62,PCLKT3_3/ADC_CP14,True_OF_PB68B,TRUE,,J1,PB68A,3,BDQ62,PCLKT3_3/ADC_CP14,True_OF_PB68B,TRUE
